"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_base.nlogo"
"experiment"
"11/04/2020 18:14:58:530 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nnest","change_rate","nsugar","cats-smart-1?","N-cats","extra-hard?","mice-reproduce?","ntraps","ncheese","N-mice","mice-smart-1?","[step]","count mice","count cats"
"4","5","0","0","false","5","false","false","5","25","10","false","129","0","0"
"2","5","0","0","false","5","false","false","5","25","10","false","109","0","4"
"5","5","0","0","false","5","false","false","5","25","10","false","84","0","5"
"3","5","0","0","false","5","false","false","5","25","10","false","129","0","0"
"1","5","0","0","false","5","false","false","5","25","10","false","119","0","0"
"6","5","0","0","false","5","false","false","5","25","10","false","119","0","1"
"8","5","0","0","false","5","false","false","5","25","10","false","99","0","5"
"9","5","0","0","false","5","false","false","5","25","10","false","129","0","1"
"10","5","0","0","false","5","false","false","5","25","10","false","98","0","5"
"7","5","0","0","false","5","false","false","5","25","10","false","109","0","2"
