"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_base.nlogo"
"experiment"
"11/06/2020 00:47:52:868 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nnest","change_rate","nsugar","cats-smart-1?","N-cats","extra-hard?","mice-reproduce?","ntraps","ncheese","N-mice","mice-smart-1?","[step]","count cats","count mice"
"1","10","0.5","15","true","10","true","true","10","35","15","true","69","7","0"
"3","10","0.5","15","true","10","true","true","10","35","15","true","57","7","0"
"6","10","0.5","15","true","10","true","true","10","35","15","true","41","8","0"
"2","10","0.5","15","true","10","true","true","10","35","15","true","96","9","0"
"7","10","0.5","15","true","10","true","true","10","35","15","true","36","8","0"
"4","10","0.5","15","true","10","true","true","10","35","15","true","104","3","0"
"9","10","0.5","15","true","10","true","true","10","35","15","true","20","9","0"
"8","10","0.5","15","true","10","true","true","10","35","15","true","103","3","0"
"10","10","0.5","15","true","10","true","true","10","35","15","true","96","7","0"
"5","10","0.5","15","true","10","true","true","10","35","15","true","105","2","0"
