"BehaviorSpace results (NetLogo 6.0.4)"
"IIA_Ficha5_Inicio.nlogo"
"experiment"
"11/03/2020 14:17:14:452 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","taxa_alteracao","n_agentes","perc_comida","[step]","count turtles"
"4","0","10","5","151","0"
"5","0","10","5","2551","0"
"2","0","10","5","4051","0"
"7","0","10","5","501","0"
"3","0","10","5","5000","1"
"1","0","10","5","5000","2"
"6","0","10","5","5000","2"
"8","0","10","5","5000","1"
"9","0","10","5","5000","2"
"10","0","10","5","5000","1"
"11","0","10","10","5000","4"
"12","0","10","10","5000","4"
"14","0","10","10","5000","2"
"13","0","10","10","5000","6"
"15","0","10","10","5000","6"
"17","0","10","10","5000","4"
"16","0","10","10","5000","4"
"18","0","10","10","5000","6"
"19","0","10","10","5000","4"
"21","0","10","15","5000","2"
"20","0","10","10","5000","7"
"22","0","10","15","5000","4"
"25","0","10","15","5000","4"
"23","0","10","15","5000","5"
"24","0","10","15","5000","9"
"26","0","10","15","5000","4"
"27","0","10","15","5000","7"
"28","0","10","15","5000","7"
"29","0","10","15","5000","4"
"30","0","10","15","5000","8"
